39.605395s, 0.271, 0.304, 0.286, 0.038, 0.263
40.351365s, 0.289, 0.335, 0.311, 0.031, 0.281
39.902960s, 0.289, 0.329, 0.307, 0.031, 0.280
37.259254s, 0.297, 0.326, 0.311, 0.055, 0.289
45.106346s, 0.288, 0.323, 0.304, 0.039, 0.280
38.801301s, 0.279, 0.312, 0.295, 0.037, 0.271
40.704595s, 0.280, 0.312, 0.295, 0.039, 0.272
36.926474s, 0.286, 0.319, 0.301, 0.038, 0.278
37.968310s, 0.290, 0.328, 0.308, 0.039, 0.281
37.829980s, 0.288, 0.323, 0.304, 0.043, 0.280
38.091183s, 0.280, 0.314, 0.297, 0.034, 0.272
37.461906s, 0.276, 0.310, 0.292, 0.036, 0.267
38.089667s, 0.276, 0.312, 0.293, 0.033, 0.268
44.243429s, 0.292, 0.325, 0.307, 0.044, 0.284
37.639350s, 0.287, 0.324, 0.304, 0.036, 0.278
50.620269s, 0.277, 0.311, 0.293, 0.035, 0.269
39.181473s, 0.283, 0.321, 0.301, 0.031, 0.274
40.927321s, 0.285, 0.319, 0.301, 0.040, 0.276
42.393603s, 0.278, 0.311, 0.294, 0.039, 0.269
39.708977s, 0.268, 0.300, 0.283, 0.032, 0.260
38.879065s, 0.285, 0.320, 0.302, 0.034, 0.277
55.480778s, 0.279, 0.310, 0.294, 0.038, 0.271
40.913397s, 0.281, 0.317, 0.298, 0.033, 0.273
42.082270s, 0.285, 0.316, 0.300, 0.046, 0.276
48.655019s, 0.279, 0.312, 0.295, 0.036, 0.270
